Num_Acc,id_vehicule,num_veh,place,catu,sexe,trajet,secu1,secu2,secu3,locp,actp,etatp,year_acc,victim_age,senc,catv,obs,obsm,choc,manv,motor,occutc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,jour,mois,lum,dep,com,agg_,int,atm,col,adr,lat,long,hour,nb_victim,nb_vehicules
202100035450,138Â 345,A01,10,3,2,5,0,-1,-1,5,5,2,2021,2.0,1,2,0,0,2,23,1,,4,LECLERC (DU MARECHAL),0,,2,2,0,1,0,0,1,, -1,1,0,1,30,7,6,1,974,97411,2,2,0,3,LECLERC (DU MARECHAL),-20.88037,55.45721,10,2,1
202100044817,121Â 607,B01,1,1,1,0,1,0,-1,-1, -1,-1,2021,49.0,1,2,0,2,3,1,1,,3,RD 65 A,0,,-1,2,0,1,0,0,1,, -1,1,0,1,50,6,4,1,52,52121,1,1,0,3,RD 65 A,48.11978,5.12987,13,2,2
202100026462,154Â 401,A01,1,1,1,5,1,5,-1,-1, -1,-1,2021,85.0,1,2,1,0,1,16,1,,4,TOSCANE (ALLEE DE),0,,1,1,0,1,(1),(1),3,, -1,1,9,8,30,28,7,1,37,37261,1,1,0,6,TOSCANE (ALLEE DE),47.3749520787,0.7090144604,14,1,1
202100046402,118Â 829,B01,1,1,1,4,2,0,-1,-1, -1,-1,2021,32.0,3,1,0,2,2,1,1,,3,JACQUES DUCLOS [CD44] (RUE),0,,1,4,0,2,0,1,1,, -1,2,0,1,50,26,3,5,93,93005,2,3,1,3,JACQUES DUCLOS [CD44] (RUE),48.9462040641,2.4933637549,22,2,2
202100026901,153Â 624,B01,1,1,1,1,1,-1,-1,0,0,-1,2021,35.0,2,2,0,2,3,1,1,,3,758,0,D,2,2,0,1,9,300,1,, -1,1,0,1,-1,28,7,1,85,85029,1,1,0,1,Le Pre Greneze,46.947827,-2.024542,15,2,2
202100019015,167Â 649,B01,1,1,1,1,2,6,-1,-1, -1,-1,2021,49.0,1,1,0,2,1,1,1,,4,BOURDIGNON (R),0,,2,2,0,1,0,0,1,, -1,1,0,1,30,14,9,1,94,94068,2,2,0,3,BOURDIGNON (R),48.80383,2.47708,13,2,2
202100004215,194Â 218,B01,2,2,2,0,2,0,-1,-1, -1,-1,2021,31.0,1,1,0,2,1,21,1,,2,kaweni-Kaweni nord ( Z I ),0,,2,2,0,1,0,0,1,, -1,1,0,1,50,6,12,1,976,97611,2,1,0,3,kaweni-Kaweni nord ( Z I ),-12.76725,45.2247,10,3,2
202100035507,138Â 243,B01,1,1,2,5,2,0,-1,0,0,-1,2021,15.0,3,1,0,2,5,12,1,,4,NOGUERES HENRI (RD POINT),0,,-1,1,0,1,(1),(1),2,, -1,1,0,1,50,8,6,1,34,34032,2,6,0,3,NOGUERES HENRI (RD POINT),43.35339,3.22519,15,3,2
202100005776,191Â 470,A01,10,3,1,5,8,8,-1,2,3,1,2021,7.0,1,2,0,1,7,1,1,,4,BOULEVARD DES BATIGNOLLES,0,,1,3,3,1,(1),(1),1,, -1,1,0,1,30,28,11,1,75,75117,2,5,0,6,BOULEVARD DES BATIGNOLLES,48.883014,2.32426,16,2,1
202100011106,181Â 877,A01,1,1,1,3,8,0,-1,-1, -1,-1,2021,27.0,3,1,0,0,0,0,5,,4,CRUSSOL (RUE DE),0,,1,1,0,1,0,0,1,, -1,1,0,1,30,25,10,1,7,7281,2,1,0,7,CRUSSOL (RUE DE),44.944474,4.84276,15,1,1
202100027239,153Â 028,A01,1,1,2,5,8,0,-1,-1, -1,-1,2021,51.0,2,2,12,0,2,14,1,,3,3,0,,2,3,0,2,0,0,2,, -1,1,0,4,50,23,7,5,92,92073,2,1,0,6,Avenue Franklin Roosevelt,48.8723307481,2.2209763527,23,1,1
202100028189,151Â 308,A01,1,1,1,1,2,6,-1,-1, -1,-1,2021,47.0,2,1,0,2,6,1,1,,4,,0,,1,1,0,1,0,0,1,, -1,1,0,1,30,19,7,1,92,92012,2,1,0,3,PYRAMIDE (SENTE DE LA),48.8339258396,2.2341236888,19,2,2
202100042250,126Â 109,A01,1,1,1,0,8,-1,-1,0,0,-1,2021,32.0,1,2,6,0,2,1,1,,3,279,-1,,2,2,0,4,(1),(1),3,, -1,1,2,3,80,29,4,3,14,14238,1,1,0,6,Bois de Boulogne,49.33325,0.15986,3,2,1
202100015011,174Â 872,B01,1,1,1,5,8,0,-1,-1, -1,-1,2021,25.0,2,1,0,2,1,1,3,,4,JACQUES PEIROTES (RUE),0,,2,2,1,1,0,0,1,, -1,1,0,5,30,3,10,5,67,67482,2,3,0,3,JACQUES PEIROTES (RUE),48.57619,7.75414,3,2,2
202100028337,151Â 045,A01,2,2,2,3,1,-1,-1,0,0,-1,2021,64.0,2,2,13,0,7,21,1,,3,56,0,D,2,2,0,1,3,950,1,, -1,1,0,3,80,17,7,1,35,35064,1,1,0,6,D56,47.703293,-1.935396,9,2,1
202100027440,152Â 674,B01,1,1,1,5,2,6,9,0,0,-1,2021,28.0,1,1,0,2,1,1,1,,3,918,0,D,2,2,0,1,51,880,1,, -1,1,0,1,80,23,7,1,64,64490,1,3,0,3,D918,43.223848,-1.298726,11,2,2
